id,tweets,likes,retweets,tweet_score,time,followers,friends,user_score,location,keyword,inlakeontario,city,region,country,lat,lng,tweet_effectiveness
1.46612E+18,"30 Days of Giving 2021, day 6: Students at @sunyoswego take on the initiative of keeping #LakeOntario clean and inviting for people and wildlife. #SUNYGives:  https://t.co/lkHNoBuiZx",7,0,007,12/1/2021 18:55,29269,855,85585529269,New York,Clean,1,New York,NY,United States,40.7127753,-74.0059728,1.6
1.46538E+18,I have dogs.  Two BIG Bernese mountain dogs.  And three cats!  Dogs can STINK!  Grace in particular gets a nice sour smell in the summer after swimming in Lake Ontario.  It isn't known to be the https://t.co/5bfrlOlf2z #pets #cleanhouse,1,0,001,11/29/2021 18:01,420,782,782782420,"Toronto, Ontario",Clean,1,Toronto,ON,Canada,43.653226,-79.3831843,0.23
1.4651E+18,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,330,11/28/2021 23:36,3226,884,8848843226,"Oakville, ON, Canada",Clean,1,Oakville,ON,Canada,43.467517,-79.6876659,75.49
1.46504E+18,"RT @NewsInOakville: If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the…",0,3,330,11/28/2021 19:45,7916,558,5585587916,"Oakville, Ontario, Canada",Clean,1,Oakville,ON,Canada,43.467517,-79.6876659,75.49
1.465E+18,"If you walk through our parks or along any sidewalk, used fast-food containers are everywhere.
How can we clean up the lake when people just throw the trash anywhere?
@Oakvillegreen @JanieFF @MayorRobBurton @henhere @ConservHalton 
#OakvilleNews
https://t.co/tacmpi6qQr",2,3,332,11/28/2021 16:41,7916,558,5585587916,"Oakville, Ontario, Canada",Clean,1,Oakville,ON,Canada,43.467517,-79.6876659,75.95
1.46341E+18,"@SharonM28627721 A Canadians’ perception of canada will be different depending on where you live, but we as people cannot move past this discussion without clean air to breathe or clean water to drink. my mom was able to swim in lake ontario when she wa",0,0,000,11/24/2021 7:27,296,401,401401296,"⚒ ham, ont 🏹",Clean,1,Hamilton,ON,Canada,43.2557206,-79.8711024,0.0
1.46616E+18,"@Hubble_BTerrier We have them down the street at Lake Ontario and ours are very bold. One snatched a dog out of his yard last week. On our walks, Mum always keeps an eye out for garbage cans in case she has to stow us and sit on top! Snacks on a rope, she",4,0,004,12/1/2021 21:55,953,638,638638953,"Toronto, Ontario",garbage,1,Toronto,ON,Canada,43.653226,-79.3831843,0.92
1.46609E+18,Future Environment Designs (#FEDTC) wins the 8th Annual Pro/Am PACNY Fishing Tournament on Lake Ontario https://t.co/I9QaATWuZk,0,0,000,12/1/2021 17:01,1102,2077,207720771102,"Syosset, New York",environment,1,Syosset,NY,United States,40.8262101,-73.502068,0.0
1.46468E+18,"RT @WeatherManRed1: Winter Weather Travel advisory, 5-10 cm possible, Environment Canada stated possible lake enhancement and higher amount…",0,2,220,11/27/2021 19:45,783,773,773773783,"Dundas, Ontario",environment,1,Hamilton,ON,Canada,43.26650890000001,-79.9568685,50.33
1.46467E+18,"Winter Weather Travel advisory, 5-10 cm possible, Environment Canada stated possible lake enhancement and higher amounts due to easterly winds off lake ontario! @IWeatherON Can't wait to see your snow forcast! Go winter! #onstorm",5,2,225,11/27/2021 19:17,37,10,101037,,environment,1,,,,,,51.47
1.46441E+18,@ReplicatorUnit @ChickeninBlack @TeresaM19445404 @TTChelps I suspect Toronto's proximity to Lake Ontario contributes to both the temperature shift and supply of moisture (or lack of ability for the environment to shed much extra here).,3,0,003,11/27/2021 1:27,2135,4720,472047202135,,environment,1,,,,,,0.69
1.46625E+18,"Doing work (volunteer or paid) that helps others, paid work that covers bills + a little more, &amp; a respectful work environment may help work be sustainable &amp; fulfilling.",0,0,000,12/2/2021 3:43,742,2,22742,,volunteer+litter+Ontario,0,,,,,,0.0
1.46625E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,550,12/2/2021 3:27,31599,2294,2294229431599,"Chilliwack, BC",volunteer+litter+Ontario,0,Chilliwack,BC,Canada,49.1579401,-121.9514666,125.81
1.46623E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,550,12/2/2021 2:36,6842,3936,393639366842,Burnaby BC,volunteer+litter+Ontario,0,Burnaby,BC,Canada,49.2488091,-122.9805104,125.81
1.46623E+18,"@BenAmesy @timosh99 The problem with most shelters is they are packed, uncomfortable and dangerous. Not everyone is suited to surviving in that environment. All the city departments and volunteer groups could manage it, if they can put their own differenc",0,0,000,12/2/2021 2:19,96,275,27527596,"Hamilton, Ontario",volunteer+litter+Ontario,0,Hamilton,ON,Canada,43.2557206,-79.8711024,0.0
1.46623E+18,"RT @Amandeep1518: ""create good memories today so that u can have a good past""
Millions of volunteer of @derasachasauda do plantation,blood…",0,2,220,12/2/2021 2:02,432,463,463463432,,volunteer+litter+Ontario,0,,,,,,50.33
1.46623E+18,"RT @Amandeep1518: ""create good memories today so that u can have a good past""
Millions of volunteer of @derasachasauda do plantation,blood…",0,2,220,12/2/2021 1:59,21,4,4421,"Rome, Lazio",volunteer+litter+Ontario,0,Rome,Lazio,Italy,41.9027835,12.4963655,50.33
1.46623E+18,"""create good memories today so that u can have a good past""
Millions of volunteer of @derasachasauda do plantation,blood donation,cleanliness campaign and many more activities to protect Environment nd Humanity. These both things play vital role in our life.
#healthiswealth https://t.co/MUDM6nPigr",1,2,221,12/2/2021 1:58,954,43,4343954,Ratia Haryana,volunteer+litter+Ontario,0,Ratia,HR,India,29.676906,75.5713361,50.55
1.46621E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,550,12/2/2021 0:53,101,229,229229101,"Chilliwack, BC",volunteer+litter+Ontario,0,Chilliwack,BC,Canada,49.1579401,-121.9514666,125.81
1.46621E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,550,12/2/2021 0:45,591,92,9292591,Chilliwack B.C.,volunteer+litter+Ontario,0,Chilliwack,BC,Canada,49.1579401,-121.9514666,125.81
1.46621E+18,"RT @PeeJayAitch: Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetr…",0,5,550,12/2/2021 0:41,1292,1423,142314231292,"Fraser Valley B.C, Canada",volunteer+litter+Ontario,0,,BC,Canada,49.3764104,-121.8159307,125.81
1.4662E+18,"Last month was the wettest November, and the wettest month, in the past 142 years here in #Chilliwack with 615.6 millimetres of precipitation, according to our local volunteer weather observer for Environment Canada, Roger Pannett.
#weather",13,5,5513,12/2/2021 0:37,2939,1497,149714972939,"Chilliwack, British Columbia",volunteer+litter+Ontario,0,Chilliwack,BC,Canada,49.1579401,-121.9514666,1261.11
1.46614E+18,RT @MindCymru: We’re hiring an Office and Volunteer Manager. If you enjoy ensuring a smoothly run working environment and have sound experi…,0,2,220,12/1/2021 20:13,3872,4774,477447743872,"Merthyr Tydfil, Wales",volunteer+litter+Ontario,0,Merthyr Tydfil,Wales,United Kingdom,51.74872999999999,-3.381646,50.33
1.46613E+18,"Apply today to become a South Dakota Master Naturalist! 
- Learn to think like a naturalist. 
- Learn about SD nature &amp; environment. 
- Contribute to citizen science.
- Volunteer in your community
Go to https://t.co/ra7mqeww7B for more info &amp; to sign up! https://t.co/mdqfSQ9Nxb",1,0,001,12/1/2021 19:56,132,88,8888132,"Pierre, SD",volunteer+litter+Ontario,0,Pierre,SD,United States,44.36678759999999,-100.3537522,0.23
1.46612E+18,"Want to help the environment &amp; volunteer? KUBAG have been removing rhododendron species from Kingston Hill woodland, so a new habitat can grow. You'll chop &amp; dig shrub out of the woodland! Interested? Sign up!

https://t.co/B5OQeUqPdF

#Kuextra #KingstonUniversity #kingstonaward https://t.co/FQM57wUfto",0,0,000,12/1/2021 19:01,45,37,373745,,volunteer+litter+Ontario,0,,,,,,0.0
1.46612E+18,"We're talking about PHE (Population, Health, and Environment) during our National Volunteer Call happening TOMORROW @ 5pm PT/8pm ET with Dr. Joan Castro, M.D. of PATH Foundation Philippines, Inc. (PFPI). Join us by signing up here! 
https://t.co/uhUnCnh8XB https://t.co/fH4izPGsgD",4,0,004,12/1/2021 18:49,5117,3061,306130615117,"Washington, DC",volunteer+litter+Ontario,0,Washington,DC,United States,38.8875144,-77.0363934,0.92
1.46612E+18,RT @shanesmiley: @jhollymc The guy spent the day helping scrub graffiti off walls. He was a volunteer in a hostile environment. Good thing…,0,1,110,12/1/2021 18:45,344,926,926926344,,volunteer+litter+Ontario,0,,,,,,25.16
1.46608E+18,Do you enjoy being in a customer facing environment and being part of a team? Volunteer with us as a Welcome Host this festive season! A great opportunity to engage with our visitors whilst learning about London Transport's history. Apply by 7 December  https://t.co/YkQKuwPmDt,1,0,001,12/1/2021 16:30,36718,995,99599536718,London,volunteer+litter+Ontario,0,London,England,United Kingdom,51.5072178,-0.1275862,0.23
1.46608E+18,Take part in the Environmentally Endangered Lands Program cleanup event Dec. 11 at Florida City Pineland. You can register to volunteer at: https://t.co/Mt610vIF4S https://t.co/TRVqrFjjVd,0,0,000,12/1/2021 16:02,824,537,537537824,"Miami, FL",volunteer+litter+Ontario,0,Miami,FL,United States,25.7616798,-80.1917902,0.0
1.46606E+18,"We’re hiring an Office and Volunteer Manager. If you enjoy ensuring a smoothly run working environment and have sound experience in a PA/Office Manager role, we’d like to hear from you. Apply today &gt; https://t.co/6AfA24F7zi
#charityjobs https://t.co/XJO2GqWZjx",8,2,228,12/1/2021 15:14,12096,792,79279212096,Wales | Cymru,volunteer+litter+Ontario,0,,Wales,United Kingdom,52.1306607,-3.7837117,52.16
1.46604E+18,RT @ffxgreen: Do you love interacting with people? Are you comfortable sharing information with others informally or via formal presentatio…,0,1,110,12/1/2021 13:25,987,504,504504987,,volunteer+litter+Ontario,0,,,,,,25.16
1.466E+18,"Sessions for this program happen once a week, on Saturdays between 3pm - 5pm. Do let us know if you can volunteer and help provide the right environment for these children

#wearecreatingfutures #lifeskills #ngo  #volunteer #togetherwecan #makeadifference #csr #csrinitiative",0,0,000,12/1/2021 10:51,122,85,8585122,Bangalore,volunteer+litter+Ontario,0,Bengaluru,KA,India,12.9715987,77.5945627,0.0
1.46597E+18,How one woman escaped the rat race and went off to Africa to volunteer on environmental projects https://t.co/rrg6MpSvbJ #environment #volunteering #Africa,0,0,000,12/1/2021 9:18,13598,14596,145961459613598,South East,volunteer+litter+Ontario,0,,,,-2.2179704,115.66283,0.0
